Id, X, Y, Rotation
0, 7346, 1502, 90
0, 751, 1370, 0
0, 1127, 4724, 0
2, 2215, 163, 90
0, 1127, 2724, 0
0, 3968, 7254, 90
1, 7328, 2833, 0
0, 8603, 6385, 0
0, 52, 3355, 90
1, 3215, 163, 0
4, 4615, 1948, 0
0, 8418, 5100, 0
1, 2878, 7003, 90
0, 7403, 8458, 90
1, 4682, 255, 90
0, 2456, 1502, 90
0, 8680, 2104, 90
1, 1127, 3724, 0
0, 57, 5123, 90
1, 8574, 1072, 0
0, 3456, 1502, 90
0, 1851, 6877, 90
0, 6819, 179, 90
0, 8529, 7641, 0
1, 6403, 8458, 90
1, 4361, 8671, 90
0, 2878, 8303, 90
0, 337, 184, 0
0, 5391, 8534, 90
0, 8550, 8671, 90
1, 519, 8169, 90
2, 7060, 6002, 0
0, 8387, 4049, 0
1, 8178, 68, 0
2, 6467, 7141, 90
0, 1878, 8303, 90
0, 248, 6737, 90
0, 5391, 7234, 90
0, 1434, 5781, 0
1, 7213, 4677, 90
0, 7467, 7141, 90
1, 5815, 163, 90
